Datum;Tag;Linie;Ri;AbZeit;FahrtAbHstName;AnZeit;FahrtAnHstName;PlaetzeIst;StehplaetzeIst;SitzplaetzeIst;AnZeit Soll;AbZeit Soll;AnZeit;AbZeit;HstName(Fpl);Hst;Einsteiger;Aussteiger;Besetzung;Auslastung
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;05:51;05:51;05:51:00;05:51:00;einfahrend;0;0;0;0;0,00%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;05:51;05:51;05:51:00;05:51:00;Enkheim;1537;0;0;0;0,00%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;05:52;05:52;05:45:07;05:50:22;Hessen-Center;1536;10,9;0;10,9;3,00%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;05:54;05:54;05:53:25;05:53:25;Kruppstraße;1535;0;0;10,9;3,00%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;05:55;05:55;05:54:57;05:56:27;Gwinnerstraße;1527;12,9;0;23,8;6,50%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;05:57;05:57;05:57:50;05:58:05;Schäfflestraße;1525;8,9;0;32,7;8,90%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;05:58;05:58;06:01:00;06:01:11;Johanna-Tesch-Platz;1524;5,9;0;38,6;10,50%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:00;06:00;06:02:33;06:02:43;Eissporthalle/Festplatz;1522;3;0;41,6;11,30%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:01;06:01;06:03:40;06:03:51;Parlamentsplatz;1520;4;0;45,6;12,40%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:02;06:02;06:04:41;06:04:53;Habsburgerallee;520;4;0;49,6;13,50%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:04;06:04;06:06:03;06:06:15;Zoo;511;2;4;47,6;12,90%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:05;06:05;06:07:54;06:08:15;Konstablerwache;510;12,9;21,2;39,3;10,70%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:07;06:07;06:09:09;06:09:25;Hauptwache;1;6;22,2;23,1;6,30%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:08;06:08;06:10:55;06:11:06;Alte Oper;201;1;4;20,1;5,50%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:10;06:10;06:12:17;06:12:30;Westend;206;1;7,1;14;3,80%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:11;06:11;06:13:35;06:13:46;Bockenheimer Warte;1201;2;5;11;3,00%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:12;06:12;06:14:29;06:14:29;Leipziger Straße;1203;0;0;11;3,00%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:14;06:14;06:15:55;06:16:05;Kirchplatz;1234;0;2;9;2,40%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:15;06:15;06:17:27;06:17:37;Industriehof;1222;0;1;8;2,20%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:16;06:16;06:18:48;06:18:48;Fischstein;1223;0;0;8;2,20%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:18;06:18;06:21:10;06:21:21;Hausener Weg;1225;0;1;7;1,90%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:20;06:20;06:22:32;06:22:43;Stephan-Heise-Straße;1226;0;1;6;1,60%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:21;06:21;06:23:43;06:23:43;Friedhof Westhausen;1227;0;0;6;1,60%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:23;06:23;06:25:45;06:30:28;Heerstraße;1229;0;6;0;0,00%
30.04.2024;Di;U7;2;05:51;Enkheim;06:23;Heerstraße;368;272;96;06:23;06:23;06:23:00;06:23:00;ausfahrend;0;0;0;0;0,00%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:22;06:22;06:22:00;06:22:00;einfahrend;0;0;0;0;0,00%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:22;06:22;06:22:00;06:22:00;Heerstraße;1229;0;0;0;0,00%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:23;06:23;06:19:16;06:24:47;Friedhof Westhausen;1227;5;0;5;2,70%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:24;06:24;06:26:07;06:26:07;Stephan-Heise-Straße;1226;0;0;5;2,70%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:26;06:26;06:26:56;06:27:08;Hausener Weg;1225;5;0;10;5,40%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:27;06:27;06:28:25;06:28:36;Fischstein;1223;0;2;8;4,30%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:29;06:29;06:29:46;06:30:02;Industriehof;1222;6;1;13;7,10%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:30;06:30;06:31:29;06:31:42;Kirchplatz;1234;1;1;13;7,10%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:31;06:31;06:32:51;06:33:04;Leipziger Straße;1203;3;0;16;8,70%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:32;06:32;06:34:05;06:34:19;Bockenheimer Warte;1201;4;3;17;9,20%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:34;06:34;06:35:23;06:35:34;Westend;206;0;2;15;8,20%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:35;06:35;06:36:44;06:36:44;Alte Oper;201;0;0;15;8,20%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:36;06:36;06:37:55;06:38:25;Hauptwache;1;10;8;17;9,20%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:38;06:38;06:39:20;06:39:38;Konstablerwache;510;7;7;17;9,20%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:39;06:39;06:40:34;06:40:34;Zoo;511;0;0;17;9,20%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:41;06:41;06:42:28;06:42:43;Habsburgerallee;520;1;4;14;7,60%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:42;06:42;06:43:37;06:43:37;Parlamentsplatz;1520;0;0;14;7,60%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:43;06:45;06:44:31;06:44:31;Eissporthalle/Festplatz;1522;0;0;14;7,60%
30.04.2024;Di;U7;1;06:22;Heerstraße;06:54;Enkheim;184;136;48;06:47;06:47;06:46:20;06:46:32;Johanna-Tesch-Platz;1524;1;1;14;7,60%
