request_timestamp;start_type;s_adress_name;s_hafas_id;s_longitude;s_latitude;ziel_type;z_adress_name;z_hafas_id;z_longitude;z_latitude;s_gem;z_gem;log_timestamp;diff_time
2024-04-30 02:11:00.000000000;STA;Frankfurt (Main) Südbahnhof;3000912;8.686.438;50.099.329;STA;Wiesbaden Adelheidstraße;3025206;8.237.751;50.075.939;Frankfurt am Main;Wiesbaden;2024-05-01 02:09:41.000000000;-1438
2024-04-30 02:32:00.000000000;STA;Frankfurt (Main) Südbahnhof;3000912;8.686.438;50.099.329;STA;Wiesbaden Adelheidstraße;3025206;8.237.751;50.075.939;Frankfurt am Main;Wiesbaden;2024-05-01 02:09:41.000000000;-1438
2024-04-30 02:32:00.000000000;STA;Frankfurt (Main) Südbahnhof;3000912;8.686.438;50.099.329;STA;Wiesbaden Adelheidstraße;3025206;8.237.751;50.075.939;Frankfurt am Main;Wiesbaden;2024-05-01 02:21:23.000000000;-1429
2024-04-30 02:35:00.000000000;STA;Frankfurt (Main) Südbahnhof;3000912;8.686.438;50.099.329;STA;Wiesbaden Adelheidstraße;3025206;8.237.751;50.075.939;Frankfurt am Main;Wiesbaden;2024-05-01 02:21:23.000000000;-1429
2024-04-30 02:35:00.000000000;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;STA;Frankfurt (Main) Hausener Weg;3001225;8.619.657;50.131.564;Frankfurt am Main;Frankfurt am Main;2024-05-01 02:09:29.000000000;-1414
2024-04-30 02:51:00.000000000;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;STA;Frankfurt (Main) Hausener Weg;3001225;8.619.657;50.131.564;Frankfurt am Main;Frankfurt am Main;2024-05-01 02:09:29.000000000;-1414
2024-04-30 02:51:00.000000000;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;STA;Frankfurt (Main) Hausener Weg;3001225;8.619.657;50.131.564;Frankfurt am Main;Frankfurt am Main;2024-05-01 00:51:51.000000000;-1320
2024-04-30 02:51:00.000000000;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;STA;Frankfurt (Main) Hausener Weg;3001225;8.619.657;50.131.564;Frankfurt am Main;Frankfurt am Main;2024-05-01 00:51:39.000000000;-1320
2024-04-30 03:00:00.000000000;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;STA;Frankfurt (Main) Hausener Weg;3001225;8.619.657;50.131.564;Frankfurt am Main;Frankfurt am Main;2024-05-01 00:51:39.000000000;-1320
2024-04-30 03:00:00.000000000;STA;Frankfurt (Main) Gwinnerstraße;3001527;8.741.183;50.133.659;STA;Frankfurt (Main) Seckbacher Landstraße;3001545;8.711.878;50.134.504;Frankfurt am Main;Frankfurt am Main;2024-05-01 00:24:32.000000000;-1284
2024-04-30 03:00:00.000000000;STA;Frankfurt (Main) Gwinnerstraße;3001527;8.741.183;50.133.659;STA;Frankfurt (Main) Seckbacher Landstraße;3001545;8.711.878;50.134.504;Frankfurt am Main;Frankfurt am Main;2024-05-01 00:24:37.000000000;-1284
2024-04-30 04:00:00.000000000;STA;Frankfurt (Main) Alt-Fechenheim;3001546;8.767.494;5.012.831;STA;Frankfurt (Main) Neu-Zeilsheim;3002197;8.493.116;50.097.126;Frankfurt am Main;Frankfurt am Main;2024-05-01 00:24:32.000000000;-1284
2024-04-30 05:08:00.000000000;STA;Frankfurt (Main) Alt-Fechenheim;3001546;8.767.494;5.012.831;STA;Frankfurt (Main) Neu-Zeilsheim;3002197;8.493.116;50.097.126;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:40:08.000000000;-1300
2024-04-30 05:08:00.000000000;STA;Frankfurt (Main) Taunusanlage;3000011;8.668.765;50.113.478;STA;Frankfurt (Main) Fliederweg;3001421;8.673.242;50.166.577;Frankfurt am Main;Frankfurt am Main;2024-05-01 04:54:42.000000000;-1426
2024-04-30 05:20:00.000000000;STA;Frankfurt (Main) Taunusanlage;3000011;8.668.765;50.113.478;STA;Frankfurt (Main) Fliederweg;3001421;8.673.242;50.166.577;Frankfurt am Main;Frankfurt am Main;2024-05-01 04:54:42.000000000;-1426
2024-04-30 05:20:00.000000000;STA;Frankfurt (Main) Taunusanlage;3000011;8.668.765;50.113.478;STA;Frankfurt (Main) Fliederweg;3001421;8.673.242;50.166.577;Frankfurt am Main;Frankfurt am Main;2024-05-01 04:54:28.000000000;-1414
2024-04-30 05:30:00.000000000;STA;Frankfurt (Main) Habsburgerallee;3000520;8.708.426;50.117.433;STA;Frankfurt (Main) Westbahnhof;3001204;8.639.452;50.119.447;Frankfurt am Main;Frankfurt am Main;2024-05-01 04:54:28.000000000;-1414
2024-04-30 05:30:00.000000000;STA;Frankfurt (Main) Habsburgerallee;3000520;8.708.426;50.117.433;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;Frankfurt am Main;Frankfurt am Main;2024-05-01 05:15:01.000000000;-1425
2024-04-30 05:40:00.000000000;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;STA;Frankfurt (Main) Fischstein;3001223;8.624.952;50.129.344;Frankfurt am Main;Frankfurt am Main;2024-05-01 05:15:01.000000000;-1425
2024-04-30 06:00:00.000000000;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;Frankfurt am Main;Frankfurt am Main;2024-05-01 04:53:54.000000000;-1393
2024-04-30 06:15:00.000000000;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;Frankfurt am Main;Frankfurt am Main;2024-05-01 05:37:14.000000000;-1417
2024-04-30 06:15:00.000000000;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;STA;Frankfurt (Main) Fischstein;3001223;8.624.952;50.129.344;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:53:10.000000000;-1178
2024-04-30 06:15:00.000000000;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;STA;Frankfurt (Main) Bockenheimer Warte;3001201;8.653.924;5.011.995;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:54:51.000000000;-1179
2024-04-30 06:15:00.000000000;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;STA;Frankfurt (Main) Fischstein;3001223;8.624.952;50.129.344;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:53:07.000000000;-1178
2024-04-30 06:15:00.000000000;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;STA;Frankfurt (Main) Bockenheimer Warte;3001201;8.653.924;5.011.995;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:53:47.000000000;-1178
2024-04-30 06:15:00.000000000;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;STA;Frankfurt (Main) Bockenheimer Warte;3001201;8.653.924;5.011.995;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:53:44.000000000;-1178
2024-04-30 06:15:00.000000000;STA;Frankfurt (Main) Habsburgerallee;3000520;8.708.426;50.117.433;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:53:28.000000000;-1178
2024-04-30 06:19:00.000000000;STA;Frankfurt (Main) Habsburgerallee;3000520;8.708.426;50.117.433;STA;Frankfurt (Main) Konstablerwache;51009;8.687.966;50.114.592;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:53:12.000000000;-1178
2024-04-30 06:19:00.000000000;STA;Frankfurt (Main) Habsburgerallee;3000520;8.708.426;50.117.433;STA;Frankfurt (Main) Westbahnhof;3001204;8.639.452;50.119.447;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:07:30.000000000;-1128
2024-04-30 06:24:00.000000000;STA;Frankfurt (Main) Hauptwache;3000001;8.679.283;50.113.963;STA;Bad Vilbel Südbahnhof;3002401;8.733.443;50.178.632;Frankfurt am Main;Bad Vilbel;2024-05-01 01:07:30.000000000;-1128
2024-04-30 06:24:00.000000000;STA;Frankfurt (Main) Hauptbahnhof;3000010;8.663.758;50.107.158;STA;Eltville (Rhein)-Erbach Bahnhof;3011030;8.094.669;50.023.244;Frankfurt am Main;Eltville am Rhein;2024-05-01 00:25:16.000000000;-1081
2024-04-30 06:46:00.000000000;STA;Frankfurt (Main) Hauptbahnhof;3000010;8.663.758;50.107.158;STA;Eltville (Rhein)-Erbach Bahnhof;3011030;8.094.669;50.023.244;Frankfurt am Main;Eltville am Rhein;2024-05-01 00:25:16.000000000;-1081
2024-04-30 06:46:00.000000000;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;Dreieich;Frankfurt am Main;2024-05-01 05:28:37.000000000;-1362
2024-04-30 06:46:00.000000000;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;Dreieich;Frankfurt am Main;2024-05-01 06:02:30.000000000;-1396
2024-04-30 06:46:00.000000000;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;Frankfurt am Main;Dreieich;2024-05-01 05:29:06.000000000;-1363
2024-04-30 06:46:00.000000000;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;Dreieich;Frankfurt am Main;2024-05-01 06:02:30.000000000;-1396
2024-04-30 06:46:00.000000000;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;Frankfurt am Main;Dreieich;2024-05-01 05:28:37.000000000;-1362
