provider_name,end_date,start_hour,end_hour,vehicle_type,stop_name,radius,trips_starting,trips_ending
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,*405 F Dornbusch/Am Grünhof,50,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,*405 F Dornbusch/Am Grünhof,100,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,*405 F Dornbusch/Am Grünhof,250,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,*405 F Dornbusch/Am Grünhof,350,1,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Francois-Mitterrand-Platz,50,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Francois-Mitterrand-Platz,100,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Francois-Mitterrand-Platz,250,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Francois-Mitterrand-Platz,350,0,1
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Miquel-/Adickesallee,50,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Miquel-/Adickesallee,100,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Miquel-/Adickesallee,250,1,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Miquel-/Adickesallee,350,1,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Plieningerstraße,50,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Plieningerstraße,100,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Plieningerstraße,250,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Plieningerstraße,350,1,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Weser-/Münchener Straße,50,0,0
nextbike,2025-04-07,2025-04-06 16:00:00,2025-04-07 13:00:00,bicycle,F Weser-/Münchener Straße,100,0,0
