haltestelle;gps_x;gps_y;anfragen_durchschnittsmonat
Frankfurt (Main) Hauptbahnhof;8.663031;50.106732;2025200
Frankfurt (Main) Hauptwache;8.678782;50.113973;646200
Frankfurt (Main) Südbahnhof;8.685723;50.099451;529800
Frankfurt (Main) Konstablerwache;8.687704;50.114475;459100
Frankfurt (Main) Flughafen Regionalbahnhof;8.571232;50.051212;393200
Frankfurt (Main) Höchst Bahnhof;8.542093;50.102406;377300
Frankfurt (Main) Westbahnhof;8.639773;50.119228;237100
Frankfurt (Main) Niederrad Bahnhof;8.637155;50.080946;211400
Frankfurt (Main) Taunusanlage;8.669053;50.1132;185600
Frankfurt (Main) Rödelheim Bahnhof;8.606937;50.124265;183200
Frankfurt (Main) Galluswarte;8.644763;50.103534;175800
Frankfurt (Main) Ostendstraße;8.696816;50.113138;155100
Frankfurt (Main) Bockenheimer Warte;8.652258;50.120236;135000
Wiesbaden Hauptbahnhof;8.244548;50.070254;126500
Frankfurt (Main) Bornheim Mitte;8.708022;50.126328;123900
Hanau Hauptbahnhof;8.929686;50.121192;122800
Darmstadt Hauptbahnhof;8.630347;49.87243;114600
Frankfurt (Main) Griesheim Bahnhof;8.605977;50.094187;109300
Frankfurt (Main) Willy-Brandt-Platz;8.674311;50.109147;107200
Frankfurt (Main) Uni Campus Riedberg;8.629924;50.17664;106800
Mainz, Hauptbahnhof;8.259309;50.001554;92400
Frankfurt (Main) Nordwestzentrum;8.63437;50.158556;91500
Frankfurt (Main) Enkheim;8.753915;50.142525;88500
Langen (Hessen) Bahnhof;8.657287;49.993592;86500
Rüsselsheim Bahnhof;8.4143;49.991972;83500
Frankfurt (Main) Hauptbahnhof tief;8.662477;50.107138;82000
Frankfurt (Main) Lokalbahnhof;8.691647;50.102547;80100
Bad Vilbel Bahnhof;8.740004;50.188482;74500
Kelsterbach Bahnhof;8.529021;50.062872;74200
Frankfurt (Main) Flughafen Terminal 1;8.571079;50.051256;71900
Frankfurt (Main) Nied Bahnhof;8.572288;50.102067;70600
Hofheim am Taunus Bahnhof;8.445123;50.084647;69800
Frankfurt (Main) Höhenstraße;8.701556;50.122958;68000
Friedberg (Hessen) Bahnhof;8.760615;50.332177;67700
Frankfurt (Main) Ostbahnhof;8.708708;50.112906;66500
Oberursel (Taunus) Bahnhof;8.587393;50.199097;65800
Offenbach (Main)-Zentrum Marktplatz;8.76491;50.105304;65200
Offenbach (Main)-Zentrum Hauptbahnhof;8.761969;50.099713;63900
Frankfurt (Main) Festhalle/Messe;8.654222;50.112436;63700
Frankfurt (Main) Holzhausenstraße;8.673566;50.126539;63600
Gießen Bahnhof;8.663513;50.579885;61900
Frankfurt (Main) Miquel-/Adickesallee;8.672155;50.131468;61600
Frankfurt (Main) Stadion;8.632613;50.068062;60900
Mühlheim (Main) Bahnhof;8.83818;50.119319;60700
Bad Homburg v.d.H. Bahnhof;8.620725;50.220688;60500
Frankfurt (Main) Seckbacher Landstraße;8.711774;50.133963;59700
Karben-Groß-Karben Bahnhof;8.753775;50.232098;58400
Frankfurt (Main) Bonames Mitte;8.665085;50.18539;58200
Frankfurt (Main) Nieder-Eschbach;8.670514;50.198878;57500
Frankfurt (Main) Eschersheim Bahnhof;8.654821;50.158832;53900
Frankfurt (Main) Dornbusch;8.670803;50.137954;53800
Frankfurt (Main) Merianplatz;8.69526;50.120031;51200
Frankfurt (Main) Industriehof;8.629545;50.128937;50200
Frankfurt (Main) Hügelstraße;8.66653;50.147934;49800
Raunheim Bahnhof;8.454522;50.009647;48700
Frankfurt (Main) Ginnheim Mitte;8.647349;50.140195;48500
Frankfurt (Main) Weißer Stein;8.656456;50.15682;47700
Offenbach (Main)-Westend Ledermuseum;8.750474;50.106048;47500
Offenbach (Main)-Offenbach Ost Ostbahnhof;8.784442;50.102698;46600
Hattersheim (Main) Bahnhof;8.488747;50.067156;45000
Frankfurt (Main) Gateway Gardens;8.595928;50.056838;44100
Frankfurt (Main) Heddernheim;8.649169;50.161302;43000
Frankfurt (Main) Stresemannallee Bahnhof;8.671244;50.094548;42700
Eschborn Südbahnhof;8.577475;50.133766;42400
Frankfurt (Main) Zeilsheim Bahnhof;8.506826;50.090463;42200
Frankfurt (Main) Nibelungenplatz;8.693446;50.129769;42200
Frankfurt (Main) Kalbach;8.657323;50.182912;42200
Frankfurt (Main) Mühlberg;8.699958;50.101919;41600
Bad Vilbel Südbahnhof;8.734585;50.178388;41300
Obertshausen Bahnhof;8.852823;50.072858;40100
Neu-Isenburg Bahnhof;8.66552;50.052857;39800
Bad Vilbel-Dortelweil Bahnhof;8.75104;50.207378;38800
Frankfurt (Main) Messe;8.643589;50.111316;38600
Frankfurt (Main) Frankfurter Berg Bahnhof;8.676341;50.170429;37600
Frankfurt (Main) Niederursel;8.622759;50.169207;36700
Dreieich-Buchschlag Bahnhof;8.661288;50.022252;36200
Frankfurt (Main) Kirchplatz;8.637613;50.125188;35400
Eschborn Bahnhof;8.56114;50.143188;35100
